Trust,Week beginning,Hospital,ICU Available,ICU Occupied,Non ICU Available,Non ICU Occupied,ED Attendances
BHSCT,2010-01-01,Belfast City Hospital,77,56,3225,2406,0
BHSCT,2010-01-01,Mater Infirmorum Hospital,42,32,1281,1148,793
BHSCT,2010-01-01,Musgrave Park Hospital,0,0,1820,1202,0
BHSCT,2010-01-01,Royal Belfast Hospital for Sick Children,56,57,489,486,581
BHSCT,2010-01-01,Royal Victoria Hospital,385,310,4069,3737,1040
BHSCT,2010-01-08,Belfast City Hospital,77,59,3225,2581,0
BHSCT,2010-01-08,Mater Infirmorum Hospital,42,34,1281,1181,680
BHSCT,2010-01-08,Musgrave Park Hospital,0,0,1820,1413,0
BHSCT,2010-01-08,Royal Belfast Hospital for Sick Children,56,56,477,484,476
BHSCT,2010-01-08,Royal Victoria Hospital,385,303,4069,3861,973
BHSCT,2010-01-15,Belfast City Hospital,77,56,3225,2568,0
BHSCT,2010-01-15,Mater Infirmorum Hospital,42,36,1281,1142,715
BHSCT,2010-01-15,Musgrave Park Hospital,0,0,1820,1409,0
BHSCT,2010-01-15,Royal Belfast Hospital for Sick Children,56,51,480,485,495
BHSCT,2010-01-15,Royal Victoria Hospital,385,299,4069,3845,1034
BHSCT,2010-01-22,Belfast City Hospital,77,50,3225,2484,0
BHSCT,2010-01-22,Mater Infirmorum Hospital,42,35,1281,1157,704
BHSCT,2010-01-22,Musgrave Park Hospital,0,0,1827,1426,0
BHSCT,2010-01-22,Royal Belfast Hospital for Sick Children,56,46,490,435,523
BHSCT,2010-01-22,Royal Victoria Hospital,385,305,4069,3863,1075
BHSCT,2010-01-29,Belfast City Hospital,77,57,3225,2521,0
BHSCT,2010-01-29,Mater Infirmorum Hospital,42,31,1281,1141,672
BHSCT,2010-01-29,Musgrave Park Hospital,0,0,1827,1404,0
BHSCT,2010-01-29,Royal Belfast Hospital for Sick Children,56,38,490,427,554
BHSCT,2010-01-29,Royal Victoria Hospital,385,301,4069,3788,1072
BHSCT,2010-02-05,Belfast City Hospital,77,53,3225,2505,0
BHSCT,2010-02-05,Mater Infirmorum Hospital,42,32,1281,1167,760
BHSCT,2010-02-05,Musgrave Park Hospital,0,0,1827,1442,0
